2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.convs.2.conv.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.convs.2.norm.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.convs.2.norm.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.extra_convs.0.conv.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.extra_convs.0.conv.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.extra_convs.0.norm.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: neck_ir.extra_convs.0.norm.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.point_wise.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.point_wise.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.norm1.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.norm1.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.norm1_.weight, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.norm1_.bias, lr: 0.0001, weight_decay: 0.0001
2026-07-28 10:44:32,076 [INFO] engine.optim_wrapper: Param: fusion_neck.fusion_layers.0.attention.blocks.attn.q.weight, lr: 0.0001, weight_decay: 0.0001
